GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
echecs,com.echecs.api.web.controller,ChessController,136,0,12,0,34,0,12,0,6,0
echecs,com.echecs.api.web.controller,UserController,164,0,14,0,36,0,13,0,6,0
echecs,com.echecs.api.web.controller,PlayerController,155,0,20,0,34,0,15,0,5,0
echecs,com.echecs.api.web.controller,SessionController,257,0,26,0,45,0,18,0,5,0
echecs,com.echecs.api,ApiApplication,8,0,0,0,3,0,2,0,2,0
echecs,com.echecs.api.model,Square,26,0,0,0,5,0,6,0,6,0
echecs,com.echecs.api.model,Player,118,0,14,0,14,0,18,0,11,0
echecs,com.echecs.api.model,Piece,23,0,0,0,4,0,5,0,5,0
echecs,com.echecs.api.model,Session,171,0,20,0,12,0,25,0,15,0
echecs,com.echecs.api.model,Chess,239,0,34,0,15,0,34,0,17,0
echecs,com.echecs.api.model,User,101,0,0,0,39,0,16,0,16,0
echecs,com.echecs.api.model,State,27,0,0,0,5,0,1,0,1,0
echecs,com.echecs.api.model,ChessBoard,986,0,4,0,51,0,8,0,6,0
echecs,com.echecs.api.model,Message,132,0,24,0,9,0,22,0,10,0
echecs,com.echecs.api.model.family,Queen,5,0,0,0,2,0,1,0,1,0
echecs,com.echecs.api.model.family,Bishop,5,0,0,0,2,0,1,0,1,0
echecs,com.echecs.api.model.family,King,5,0,0,0,2,0,1,0,1,0
echecs,com.echecs.api.model.family,Pown,176,0,14,0,29,0,9,0,2,0
echecs,com.echecs.api.model.family,Rook,5,0,0,0,2,0,1,0,1,0
echecs,com.echecs.api.model.family,Knight,5,0,0,0,2,0,1,0,1,0
echecs,com.echecs.api.shared,SequenceGeneratorService,37,0,2,0,6,0,3,0,2,0
echecs,com.echecs.api.shared,BaseUser,33,0,6,0,2,0,8,0,5,0
echecs,com.echecs.api.shared,BaseMessage,81,0,14,0,4,0,15,0,8,0
echecs,com.echecs.api.shared,DatabaseSequence,17,0,0,0,7,0,5,0,5,0
echecs,com.echecs.api.shared,MovementPieces,924,0,71,0,101,0,43,0,5,0
