GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
echecs,com.echecs.api.web.controller,ChessController,130,6,12,0,31,3,11,1,5,1
echecs,com.echecs.api.web.controller,UserController,161,3,14,0,35,1,12,1,5,1
echecs,com.echecs.api.web.controller,PlayerController,152,3,20,0,33,1,14,1,4,1
echecs,com.echecs.api.web.controller,SessionController,254,3,26,0,44,1,17,1,4,1
echecs,com.echecs.api,ApiApplication,5,3,0,0,2,1,1,1,1,1
echecs,com.echecs.api.model,Square,17,9,0,0,4,1,5,1,5,1
echecs,com.echecs.api.model,Player,61,57,12,2,5,9,10,8,3,8
echecs,com.echecs.api.model,Piece,14,9,0,0,3,1,4,1,4,1
echecs,com.echecs.api.model,Session,171,0,20,0,12,0,25,0,15,0
echecs,com.echecs.api.model,Chess,198,41,34,0,5,10,27,7,10,7
echecs,com.echecs.api.model,User,68,33,0,0,29,10,12,4,12,4
echecs,com.echecs.api.model,State,0,27,0,0,0,5,0,1,0,1
echecs,com.echecs.api.model,ChessBoard,0,986,0,4,0,51,0,8,0,6
echecs,com.echecs.api.model,Message,132,0,24,0,9,0,22,0,10,0
echecs,com.echecs.api.model.family,Queen,0,5,0,0,0,2,0,1,0,1
echecs,com.echecs.api.model.family,Bishop,0,5,0,0,0,2,0,1,0,1
echecs,com.echecs.api.model.family,King,0,5,0,0,0,2,0,1,0,1
echecs,com.echecs.api.model.family,Pown,171,5,14,0,27,2,8,1,1,1
echecs,com.echecs.api.model.family,Rook,0,5,0,0,0,2,0,1,0,1
echecs,com.echecs.api.model.family,Knight,0,5,0,0,0,2,0,1,0,1
echecs,com.echecs.api.shared,SequenceGeneratorService,31,6,2,0,3,3,2,1,1,1
echecs,com.echecs.api.shared,BaseUser,33,0,6,0,2,0,8,0,5,0
echecs,com.echecs.api.shared,BaseMessage,81,0,14,0,4,0,15,0,8,0
echecs,com.echecs.api.shared,DatabaseSequence,17,0,0,0,7,0,5,0,5,0
echecs,com.echecs.api.shared,MovementPieces,924,0,71,0,101,0,43,0,5,0
